Latin,English
pars,part
stair,history
cuardaigh,search
ach,only
póilíní,police
shíl,thought
cabhrú,help
iarratas,request
chineál,kind
mí,month
deartháir,brother
a ligean,let
mar,because
Cuir,to put
no,no
iall,leash
iad,them
chathair,city
gach,each
labhair,speak
teacht,come
Ar chóir,should
leanbh,baby
tamall fada,long time
uaireanta,hours
beidh,will
cé,while
le chéile arís,meet again
aon,any
cearnach,square
labhair,speak
thuiscint,understood
Bhí a fhios,knew
bhí,were
rabhadh,Warning
seo é,here is
D'fhéadfadh,could
cás,case
a thabhairt,give
cineál,type
n,their
tugadh,given
traein,train
comhlacht,body
áit,place
súile,eyes
bhealach,way
éisteacht,listen
a bhfuil a,whose
teacht,find
ar dtús,first
caillte,lost
lámh,hand
ar dtús,first
taobh,side
cumhacht,power
Sean,old
a,be
anseo,here
maidin,morning
alán,so much
leanbh,child
pointe,point
tháinig,came
tar éis,after
tá brón orainn,sorry
teacht,come
os comhair,in front of
i dtreo,towards
nóiméad,minutes
iarratas,request
seomra leaba,bedroom
a chuirtear,placed
álainn,beautiful
Dlí,law
Ba mhaith le,would like to
inniu,today
fear céile,husband
ar deireadh,finally
Tá súil,hope
uisce,water
fan,Wait
taobh clé,left
nua,new
post,job
Stop,Stop
Earth,Earth
cuntas,account
tugadh,given
dtí seo,far
deireadh,end
Creidim,believe
sweetheart,sweetheart
mór,large
in áit,rather
beidh,will have
cailíní,girls
imirt,to play
oifig,office
